,Origin,Destination,Date,Carrier,Price,Depart_Time,Dep_meridiem,Arrive_time,Arrival_time_meridiem,Duration,Flight_pattern
125,ATL,ABY,05-21,Linear Air Taxi,$2232,7:00,am,7:56,am,0h 56m,nonstop
126,ATL,ABY,05-21,Linear Air Taxi,$2232,8:00,am,8:56,am,0h 56m,nonstop
127,ATL,ABY,05-21,Linear Air Taxi,$2232,9:00,am,9:56,am,0h 56m,nonstop
128,ATL,ABY,05-21,Linear Air Taxi,$2232,10:00,am,10:56,am,0h 56m,nonstop
129,ATL,ABY,05-21,Linear Air Taxi,$2232,11:00,am,11:56,am,0h 56m,nonstop
130,ATL,ABY,05-21,Linear Air Taxi,$2232,12:00,pm,12:56,pm,0h 56m,nonstop
131,ATL,ABY,05-21,Linear Air Taxi,$2232,1:00,pm,1:56,pm,0h 56m,nonstop
132,ATL,ABY,05-21,Linear Air Taxi,$2232,2:00,pm,2:56,pm,0h 56m,nonstop
133,ATL,ABY,05-21,Linear Air Taxi,$2232,3:00,pm,3:56,pm,0h 56m,nonstop
134,ATL,ABY,05-21,Linear Air Taxi,$2232,4:00,pm,4:56,pm,0h 56m,nonstop
135,ATL,ABY,05-21,Linear Air Taxi,$2232,5:00,pm,5:56,pm,0h 56m,nonstop
136,ATL,ABY,05-23,Delta,$135,10:31,am,11:29,am,0h 58m,nonstop
137,ATL,ABY,05-23,Delta,$135,9:21,pm,10:15,pm,0h 54m,nonstop
138,ATL,ABY,05-23,Delta,$195,2:55,pm,3:49,pm,0h 54m,nonstop
139,ATL,ABY,05-23,Linear Air Taxi,$2232,6:00,am,6:56,am,0h 56m,nonstop
140,ATL,ABY,05-23,Linear Air Taxi,$2232,7:00,am,7:56,am,0h 56m,nonstop
141,ATL,ABY,05-23,Linear Air Taxi,$2232,8:00,am,8:56,am,0h 56m,nonstop
142,ATL,ABY,05-23,Linear Air Taxi,$2232,9:00,am,9:56,am,0h 56m,nonstop
143,ATL,ABY,05-23,Linear Air Taxi,$2232,10:00,am,10:56,am,0h 56m,nonstop
144,ATL,ABY,05-23,Linear Air Taxi,$2232,11:00,am,11:56,am,0h 56m,nonstop
145,ATL,ABY,05-23,Linear Air Taxi,$2232,12:00,pm,12:56,pm,0h 56m,nonstop
146,ATL,ABY,05-23,Linear Air Taxi,$2232,1:00,pm,1:56,pm,0h 56m,nonstop
147,ATL,ABY,05-23,Linear Air Taxi,$2232,2:00,pm,2:56,pm,0h 56m,nonstop
148,ATL,ABY,05-23,Linear Air Taxi,$2232,3:00,pm,3:56,pm,0h 56m,nonstop
149,ATL,ABY,05-23,Linear Air Taxi,$2232,4:00,pm,4:56,pm,0h 56m,nonstop
150,ATL,ABY,05-23,Linear Air Taxi,$2232,5:00,pm,5:56,pm,0h 56m,nonstop
151,ATL,ABY,05-25,Delta,$135,10:38,am,11:35,am,0h 57m,nonstop
152,ATL,ABY,05-25,Delta,$135,7:04,pm,7:57,pm,0h 53m,nonstop
153,ATL,ABY,05-25,Linear Air Taxi,$2232,6:00,am,6:56,am,0h 56m,nonstop
154,ATL,ABY,05-25,Linear Air Taxi,$2232,7:00,am,7:56,am,0h 56m,nonstop
155,ATL,ABY,05-25,Linear Air Taxi,$2232,8:00,am,8:56,am,0h 56m,nonstop
156,ATL,ABY,05-25,Linear Air Taxi,$2232,9:00,am,9:56,am,0h 56m,nonstop
157,ATL,ABY,05-25,Linear Air Taxi,$2232,10:00,am,10:56,am,0h 56m,nonstop
158,ATL,ABY,05-25,Linear Air Taxi,$2232,11:00,am,11:56,am,0h 56m,nonstop
159,ATL,ABY,05-25,Linear Air Taxi,$2232,12:00,pm,12:56,pm,0h 56m,nonstop
160,ATL,ABY,05-25,Linear Air Taxi,$2232,1:00,pm,1:56,pm,0h 56m,nonstop
161,ATL,ABY,05-25,Linear Air Taxi,$2232,2:00,pm,2:56,pm,0h 56m,nonstop
162,ATL,ABY,05-25,Linear Air Taxi,$2232,3:00,pm,3:56,pm,0h 56m,nonstop
163,ATL,ABY,05-25,Linear Air Taxi,$2232,4:00,pm,4:56,pm,0h 56m,nonstop
164,ATL,ABY,05-25,Linear Air Taxi,$2232,5:00,pm,5:56,pm,0h 56m,nonstop
165,ATL,ABY,05-25,Linear Air Taxi,$2232,6:00,pm,6:56,pm,0h 56m,nonstop
166,ATL,AEX,05-19,Delta,$179,9:30,am,10:09,am,1h 39m,nonstop
167,ATL,AEX,05-19,Delta,$179,1:51,pm,2:33,pm,1h 42m,nonstop
168,ATL,AEX,05-19,Delta,$179,4:25,pm,5:08,pm,1h 43m,nonstop
169,ATL,AEX,05-19,Delta,$179,9:19,pm,10:04,pm,1h 45m,nonstop
170,ATL,AEX,05-19,American Airlines,$187,6:19,pm,10:09,pm,4h 50m,1 stop
171,ATL,AEX,05-19,American Airlines,$187,8:00,am,11:57,am,4h 57m,1 stop
172,ATL,AEX,05-19,American Airlines,$187,4:24,pm,10:09,pm,6h 45m,1 stop
173,ATL,AEX,05-19,American Airlines,$187,6:05,am,11:57,am,6h 52m,1 stop
174,ATL,AEX,05-19,American Airlines,$267,12:40,pm,4:00,pm,4h 20m,1 stop
175,ATL,AEX,05-19,American Airlines,$267,10:00,am,4:00,pm,7h 00m,1 stop
176,ATL,AEX,05-19,American Airlines,$270,5:16,am,11:57,am,7h 41m,2 stops
177,ATL,AEX,05-19,United Airlines,$316,3:50,pm,8:40,pm,5h 50m,1 stop
178,ATL,AEX,05-19,United Airlines,$407,12:15,pm,3:33,pm,4h 18m,1 stop
179,ATL,AEX,05-19,American Airlines,$433,3:16,pm,10:09,pm,7h 53m,2 stops
180,ATL,AEX,05-22,Delta,$179,9:30,am,10:09,am,1h 39m,nonstop
181,ATL,AEX,05-22,Delta,$179,1:51,pm,2:33,pm,1h 42m,nonstop
182,ATL,AEX,05-22,Delta,$179,4:25,pm,5:08,pm,1h 43m,nonstop
183,ATL,AEX,05-22,Delta,$179,9:19,pm,10:04,pm,1h 45m,nonstop
184,ATL,AEX,05-22,United Airlines,$187,12:15,pm,3:33,pm,4h 18m,1 stop
185,ATL,AEX,05-22,American Airlines,$187,12:40,pm,4:00,pm,4h 20m,1 stop
186,ATL,AEX,05-22,United Airlines,$187,7:35,am,11:19,am,4h 44m,1 stop
187,ATL,AEX,05-22,American Airlines,$187,6:19,pm,10:09,pm,4h 50m,1 stop
188,ATL,AEX,05-22,American Airlines,$187,8:00,am,11:57,am,4h 57m,1 stop
189,ATL,AEX,05-22,American Airlines,$187,4:24,pm,10:09,pm,6h 45m,1 stop
190,ATL,AEX,05-22,American Airlines,$187,6:05,am,11:57,am,6h 52m,1 stop
191,ATL,AEX,05-22,American Airlines,$187,10:00,am,4:00,pm,7h 00m,1 stop
192,ATL,AEX,05-22,American Airlines,$190,5:16,am,11:57,am,7h 41m,2 stops
193,ATL,AEX,05-22,United Airlines,$267,5:41,pm,8:40,pm,3h 59m,1 stop
194,ATL,AEX,05-22,United Airlines,$267,3:50,pm,8:40,pm,5h 50m,1 stop
195,ATL,AEX,05-23,Delta,$179,9:30,am,10:09,am,1h 39m,nonstop
196,ATL,AEX,05-23,Delta,$179,1:51,pm,2:33,pm,1h 42m,nonstop
197,ATL,AEX,05-23,Delta,$179,4:25,pm,5:08,pm,1h 43m,nonstop
198,ATL,AEX,05-23,Delta,$179,9:19,pm,10:04,pm,1h 45m,nonstop
199,ATL,AEX,05-23,United Airlines,$187,7:35,am,11:19,am,4h 44m,1 stop
200,ATL,AEX,05-23,American Airlines,$187,8:00,am,11:57,am,4h 57m,1 stop
201,ATL,AEX,05-23,American Airlines,$187,6:05,am,11:57,am,6h 52m,1 stop
202,ATL,AEX,05-23,United Airlines,$267,12:15,pm,3:33,pm,4h 18m,1 stop
203,ATL,AEX,05-23,United Airlines,$267,9:25,am,3:33,pm,7h 08m,1 stop
204,ATL,AEX,05-23,American Airlines,$270,5:16,am,11:57,am,7h 41m,2 stops
205,ATL,AEX,05-23,American Airlines,$316,12:40,pm,4:00,pm,4h 20m,1 stop
206,ATL,AEX,05-23,American Airlines,$316,4:24,pm,10:09,pm,6h 45m,1 stop
207,ATL,AEX,05-23,American Airlines,$316,10:00,am,4:00,pm,7h 00m,1 stop
208,ATL,AEX,05-23,American Airlines,$407,6:19,pm,10:09,pm,4h 50m,1 stop
209,ATL,AEX,05-23,American Airlines,$507,3:19,pm,10:09,pm,7h 50m,2 stops
210,ATL,AEX,05-25,Delta,$179,10:25,am,11:05,am,1h 40m,nonstop
211,ATL,AEX,05-25,United Airlines,$187,7:35,am,11:19,am,4h 44m,1 stop
212,ATL,AEX,05-25,American Airlines,$187,8:00,am,11:57,am,4h 57m,1 stop
213,ATL,AEX,05-25,American Airlines,$187,4:24,pm,10:09,pm,6h 45m,1 stop
214,ATL,AEX,05-25,American Airlines,$187,6:05,am,11:57,am,6h 52m,1 stop
215,ATL,AEX,05-25,American Airlines,$190,5:30,am,11:57,am,7h 27m,2 stops
216,ATL,AEX,05-25,Delta,$259,7:03,pm,7:45,pm,1h 42m,nonstop
217,ATL,AEX,05-25,American Airlines,$316,12:40,pm,4:00,pm,4h 20m,1 stop
218,ATL,AEX,05-25,United Airlines,$316,3:50,pm,8:40,pm,5h 50m,1 stop
219,ATL,AEX,05-25,American Airlines,$316,10:00,am,4:00,pm,7h 00m,1 stop
220,ATL,AGS,05-19,Delta,$139,7:25,pm,8:20,pm,0h 55m,nonstop
221,ATL,AGS,05-19,Delta,$139,9:32,am,10:32,am,1h 00m,nonstop
222,ATL,AGS,05-19,Delta,$139,1:51,pm,2:49,pm,0h 58m,nonstop
223,ATL,AGS,05-19,Delta,$139,3:40,pm,4:41,pm,1h 01m,nonstop
224,ATL,AGS,05-19,Delta,$139,9:58,pm,10:59,pm,1h 01m,nonstop
225,ATL,AGS,05-19,Delta,$139,11:33,pm,12:30,am,0h 57m,nonstop
226,ATL,AGS,05-19,Delta,$199,11:39,am,12:33,pm,0h 54m,nonstop
227,ATL,AGS,05-19,American Airlines,$206,8:31,am,12:19,pm,3h 48m,1 stop
228,ATL,AGS,05-19,American Airlines,$206,9:40,am,1:58,pm,4h 18m,1 stop
229,ATL,AGS,05-19,American Airlines,$206,12:28,pm,3:28,pm,3h 00m,1 stop
230,ATL,AGS,05-19,American Airlines,$266,1:51,pm,5:14,pm,3h 23m,1 stop
231,ATL,AGS,05-19,American Airlines,$266,3:14,pm,7:16,pm,4h 02m,1 stop
232,ATL,AGS,05-19,American Airlines,$266,7:45,pm,11:32,pm,3h 47m,1 stop
233,ATL,AGS,05-19,Delta,$299,5:54,pm,6:54,pm,1h 00m,nonstop
234,ATL,AGS,05-19,Linear Air Taxi,$2156,6:00,am,6:56,am,0h 56m,nonstop
235,ATL,AGS,05-20,Delta,$139,1:51,pm,2:49,pm,0h 58m,nonstop
236,ATL,AGS,05-20,Delta,$139,8:25,am,9:27,am,1h 02m,nonstop
237,ATL,AGS,05-20,Delta,$139,9:32,am,10:31,am,0h 59m,nonstop
238,ATL,AGS,05-20,Delta,$139,3:40,pm,4:41,pm,1h 01m,nonstop
239,ATL,AGS,05-20,Delta,$139,9:58,pm,10:59,pm,1h 01m,nonstop
240,ATL,AGS,05-20,Delta,$199,11:39,am,12:33,pm,0h 54m,nonstop
241,ATL,AGS,05-20,Delta,$199,5:54,pm,6:54,pm,1h 00m,nonstop
242,ATL,AGS,05-20,Delta,$199,7:25,pm,8:20,pm,0h 55m,nonstop
243,ATL,AGS,05-20,Delta,$199,11:33,pm,12:30,am,0h 57m,nonstop
244,ATL,AGS,05-20,American Airlines,$206,8:31,am,12:19,pm,3h 48m,1 stop
245,ATL,AGS,05-20,American Airlines,$206,12:28,pm,3:28,pm,3h 00m,1 stop
246,ATL,AGS,05-20,American Airlines,$206,2:07,pm,5:15,pm,3h 08m,1 stop
247,ATL,AGS,05-20,American Airlines,$206,3:19,pm,7:16,pm,3h 57m,1 stop
248,ATL,AGS,05-20,American Airlines,$266,9:40,am,1:58,pm,4h 18m,1 stop
249,ATL,AGS,05-20,American Airlines,$266,7:45,pm,11:32,pm,3h 47m,1 stop
250,ATL,AGS,05-21,Delta,$139,11:39,am,12:33,pm,0h 54m,nonstop
251,ATL,AGS,05-21,Delta,$139,8:25,am,9:27,am,1h 02m,nonstop
252,ATL,AGS,05-21,Delta,$139,9:32,am,10:32,am,1h 00m,nonstop
253,ATL,AGS,05-21,Delta,$139,1:51,pm,2:50,pm,0h 59m,nonstop
254,ATL,AGS,05-21,Delta,$139,3:40,pm,4:41,pm,1h 01m,nonstop
255,ATL,AGS,05-21,Delta,$139,7:25,pm,8:20,pm,0h 55m,nonstop
256,ATL,AGS,05-21,Delta,$139,9:58,pm,10:59,pm,1h 01m,nonstop
257,ATL,AGS,05-21,Delta,$139,11:33,pm,12:30,am,0h 57m,nonstop
258,ATL,AGS,05-21,American Airlines,$146,8:31,am,12:19,pm,3h 48m,1 stop
259,ATL,AGS,05-21,Delta,$199,5:54,pm,6:54,pm,1h 00m,nonstop
260,ATL,AGS,05-21,American Airlines,$206,9:40,am,1:58,pm,4h 18m,1 stop
261,ATL,AGS,05-21,American Airlines,$206,12:28,pm,3:28,pm,3h 00m,1 stop
262,ATL,AGS,05-21,American Airlines,$206,2:07,pm,5:15,pm,3h 08m,1 stop
263,ATL,AGS,05-21,American Airlines,$206,3:19,pm,7:16,pm,3h 57m,1 stop
264,ATL,AGS,05-21,American Airlines,$526,7:45,pm,11:32,pm,3h 47m,1 stop
265,ATL,AGS,05-22,Delta,$139,11:39,am,12:33,pm,0h 54m,nonstop
266,ATL,AGS,05-22,Delta,$139,8:25,am,9:27,am,1h 02m,nonstop
267,ATL,AGS,05-22,Delta,$139,9:32,am,10:32,am,1h 00m,nonstop
268,ATL,AGS,05-22,Delta,$139,1:51,pm,2:50,pm,0h 59m,nonstop
269,ATL,AGS,05-22,Delta,$139,3:40,pm,4:41,pm,1h 01m,nonstop
270,ATL,AGS,05-22,Delta,$139,7:25,pm,8:20,pm,0h 55m,nonstop
271,ATL,AGS,05-22,Delta,$139,9:58,pm,10:59,pm,1h 01m,nonstop
272,ATL,AGS,05-22,Delta,$139,11:33,pm,12:30,am,0h 57m,nonstop
273,ATL,AGS,05-22,American Airlines,$206,8:31,am,12:19,pm,3h 48m,1 stop
274,ATL,AGS,05-22,American Airlines,$206,9:40,am,1:58,pm,4h 18m,1 stop
275,ATL,AGS,05-22,American Airlines,$206,12:28,pm,3:28,pm,3h 00m,1 stop
276,ATL,AGS,05-22,American Airlines,$206,2:07,pm,5:15,pm,3h 08m,1 stop
277,ATL,AGS,05-22,American Airlines,$206,3:19,pm,7:16,pm,3h 57m,1 stop
278,ATL,AGS,05-22,Delta,$299,5:54,pm,6:54,pm,1h 00m,nonstop
279,ATL,AGS,05-22,American Airlines,$526,7:45,pm,11:32,pm,3h 47m,1 stop
280,ATL,AGS,05-23,Delta,$139,11:39,am,12:33,pm,0h 54m,nonstop
281,ATL,AGS,05-23,Delta,$139,8:25,am,9:27,am,1h 02m,nonstop
282,ATL,AGS,05-23,Delta,$139,9:32,am,10:32,am,1h 00m,nonstop
283,ATL,AGS,05-23,Delta,$139,3:40,pm,4:41,pm,1h 01m,nonstop
284,ATL,AGS,05-23,Delta,$139,9:58,pm,10:59,pm,1h 01m,nonstop
285,ATL,AGS,05-23,Delta,$139,11:33,pm,12:30,am,0h 57m,nonstop
