,Destination,Num_flights,Num_carriers,Hour_f,Price,Hour,stops,Date,Carrier,Flight_time_minutes
192,AEX,54,3,8,187,8,1,05-22,American Airlines,297
193,AEX,54,3,16,187,16,1,05-22,American Airlines,405
194,AEX,54,3,6,187,6,1,05-22,American Airlines,412
195,AEX,54,3,10,187,10,1,05-22,American Airlines,420
196,AEX,54,3,5,190,5,2,05-22,American Airlines,461
197,AEX,54,3,17,267,17,1,05-22,United Airlines,239
198,AEX,54,3,15,267,15,1,05-22,United Airlines,350
199,AEX,54,3,9,179,9,0,05-23,Delta,99
200,AEX,54,3,13,179,13,0,05-23,Delta,102
201,AEX,54,3,16,179,16,0,05-23,Delta,103
202,AEX,54,3,21,179,21,0,05-23,Delta,105
203,AEX,54,3,7,187,7,1,05-23,United Airlines,284
204,AEX,54,3,8,187,8,1,05-23,American Airlines,297
205,AEX,54,3,6,187,6,1,05-23,American Airlines,412
206,AEX,54,3,24,267,24,1,05-23,United Airlines,258
207,AEX,54,3,9,267,9,1,05-23,United Airlines,428
208,AEX,54,3,5,270,5,2,05-23,American Airlines,461
209,AEX,54,3,24,316,24,1,05-23,American Airlines,260
210,AEX,54,3,16,316,16,1,05-23,American Airlines,405
211,AEX,54,3,10,316,10,1,05-23,American Airlines,420
212,AEX,54,3,18,407,18,1,05-23,American Airlines,290
213,AEX,54,3,15,507,15,2,05-23,American Airlines,470
214,AEX,54,3,10,179,10,0,05-25,Delta,100
215,AEX,54,3,7,187,7,1,05-25,United Airlines,284
216,AEX,54,3,8,187,8,1,05-25,American Airlines,297
217,AEX,54,3,16,187,16,1,05-25,American Airlines,405
218,AEX,54,3,6,187,6,1,05-25,American Airlines,412
219,AEX,54,3,5,190,5,2,05-25,American Airlines,447
220,AEX,54,3,19,259,19,0,05-25,Delta,102
221,AEX,54,3,24,316,24,1,05-25,American Airlines,260
222,AEX,54,3,15,316,15,1,05-25,United Airlines,350
223,AEX,54,3,10,316,10,1,05-25,American Airlines,420
224,AGS,90,3,19,139,19,0,05-19,Delta,55
225,AGS,90,3,9,139,9,0,05-19,Delta,60
226,AGS,90,3,13,139,13,0,05-19,Delta,58
227,AGS,90,3,15,139,15,0,05-19,Delta,61
228,AGS,90,3,21,139,21,0,05-19,Delta,61
229,AGS,90,3,23,139,23,0,05-19,Delta,57
230,AGS,90,3,11,199,11,0,05-19,Delta,54
231,AGS,90,3,8,206,8,1,05-19,American Airlines,228
232,AGS,90,3,9,206,9,1,05-19,American Airlines,258
233,AGS,90,3,24,206,24,1,05-19,American Airlines,180
234,AGS,90,3,13,266,13,1,05-19,American Airlines,203
235,AGS,90,3,15,266,15,1,05-19,American Airlines,242
236,AGS,90,3,19,266,19,1,05-19,American Airlines,227
237,AGS,90,3,17,299,17,0,05-19,Delta,60
238,AGS,90,3,6,2156,6,0,05-19,Linear Air Taxi,56
239,AGS,90,3,13,139,13,0,05-20,Delta,58
240,AGS,90,3,8,139,8,0,05-20,Delta,62
241,AGS,90,3,9,139,9,0,05-20,Delta,59
242,AGS,90,3,15,139,15,0,05-20,Delta,61
243,AGS,90,3,21,139,21,0,05-20,Delta,61
244,AGS,90,3,11,199,11,0,05-20,Delta,54
245,AGS,90,3,17,199,17,0,05-20,Delta,60
246,AGS,90,3,19,199,19,0,05-20,Delta,55
247,AGS,90,3,23,199,23,0,05-20,Delta,57
248,AGS,90,3,8,206,8,1,05-20,American Airlines,228
249,AGS,90,3,24,206,24,1,05-20,American Airlines,180
250,AGS,90,3,14,206,14,1,05-20,American Airlines,188
251,AGS,90,3,15,206,15,1,05-20,American Airlines,237
252,AGS,90,3,9,266,9,1,05-20,American Airlines,258
253,AGS,90,3,19,266,19,1,05-20,American Airlines,227
254,AGS,90,3,11,139,11,0,05-21,Delta,54
255,AGS,90,3,8,139,8,0,05-21,Delta,62
256,AGS,90,3,9,139,9,0,05-21,Delta,60
257,AGS,90,3,13,139,13,0,05-21,Delta,59
258,AGS,90,3,15,139,15,0,05-21,Delta,61
259,AGS,90,3,19,139,19,0,05-21,Delta,55
260,AGS,90,3,21,139,21,0,05-21,Delta,61
261,AGS,90,3,23,139,23,0,05-21,Delta,57
262,AGS,90,3,8,146,8,1,05-21,American Airlines,228
263,AGS,90,3,17,199,17,0,05-21,Delta,60
264,AGS,90,3,9,206,9,1,05-21,American Airlines,258
265,AGS,90,3,24,206,24,1,05-21,American Airlines,180
266,AGS,90,3,14,206,14,1,05-21,American Airlines,188
267,AGS,90,3,15,206,15,1,05-21,American Airlines,237
268,AGS,90,3,19,526,19,1,05-21,American Airlines,227
269,AGS,90,3,11,139,11,0,05-22,Delta,54
270,AGS,90,3,8,139,8,0,05-22,Delta,62
271,AGS,90,3,9,139,9,0,05-22,Delta,60
272,AGS,90,3,13,139,13,0,05-22,Delta,59
273,AGS,90,3,15,139,15,0,05-22,Delta,61
274,AGS,90,3,19,139,19,0,05-22,Delta,55
275,AGS,90,3,21,139,21,0,05-22,Delta,61
276,AGS,90,3,23,139,23,0,05-22,Delta,57
277,AGS,90,3,8,206,8,1,05-22,American Airlines,228
278,AGS,90,3,9,206,9,1,05-22,American Airlines,258
279,AGS,90,3,24,206,24,1,05-22,American Airlines,180
280,AGS,90,3,14,206,14,1,05-22,American Airlines,188
281,AGS,90,3,15,206,15,1,05-22,American Airlines,237
282,AGS,90,3,17,299,17,0,05-22,Delta,60
283,AGS,90,3,19,526,19,1,05-22,American Airlines,227
284,AGS,90,3,11,139,11,0,05-23,Delta,54
285,AGS,90,3,8,139,8,0,05-23,Delta,62
286,AGS,90,3,9,139,9,0,05-23,Delta,60
287,AGS,90,3,15,139,15,0,05-23,Delta,61
288,AGS,90,3,21,139,21,0,05-23,Delta,61
289,AGS,90,3,23,139,23,0,05-23,Delta,57
290,AGS,90,3,13,199,13,0,05-23,Delta,59
291,AGS,90,3,19,199,19,0,05-23,Delta,55
292,AGS,90,3,8,266,8,1,05-23,American Airlines,228
293,AGS,90,3,14,266,14,1,05-23,American Airlines,188
294,AGS,90,3,17,299,17,0,05-23,Delta,60
295,AGS,90,3,9,526,9,1,05-23,American Airlines,258
296,AGS,90,3,24,526,24,1,05-23,American Airlines,180
297,AGS,90,3,15,526,15,1,05-23,American Airlines,237
298,AGS,90,3,19,526,19,1,05-23,American Airlines,227
299,AGS,90,3,19,139,19,0,05-24,Delta,55
300,AGS,90,3,15,139,15,0,05-24,Delta,61
301,AGS,90,3,23,139,23,0,05-24,Delta,57
302,AGS,90,3,8,199,8,0,05-24,Delta,62
303,AGS,90,3,9,199,9,0,05-24,Delta,60
304,AGS,90,3,13,199,13,0,05-24,Delta,59
305,AGS,90,3,21,199,21,0,05-24,Delta,61
306,AGS,90,3,8,266,8,1,05-24,American Airlines,228
307,AGS,90,3,24,266,24,1,05-24,American Airlines,180
308,AGS,90,3,14,266,14,1,05-24,American Airlines,188
309,AGS,90,3,15,266,15,1,05-24,American Airlines,237
310,AGS,90,3,19,266,19,1,05-24,American Airlines,227
311,AGS,90,3,11,299,11,0,05-24,Delta,54
312,AGS,90,3,17,299,17,0,05-24,Delta,60
313,AGS,90,3,9,526,9,1,05-24,American Airlines,258
314,ALB,31,5,6,148,6,1,05-19,Multiple Airlines,720
315,ALB,31,5,9,207,9,0,05-19,Delta,134
316,ALB,31,5,5,170,5,1,05-19,American Airlines,271
317,ALB,31,5,7,198,7,1,05-19,American Airlines,277
318,ALB,31,5,6,198,6,1,05-19,American Airlines,316
319,ALB,31,5,7,198,7,1,05-19,American Airlines,386
320,ALB,31,5,5,201,5,2,05-19,American Airlines,415
321,ALB,31,5,21,207,21,0,05-19,Delta,145
322,ALB,31,5,9,215,9,1,05-19,United Airlines,258
323,ALB,31,5,15,254,15,1,05-19,American Airlines,241
324,ALB,31,5,24,254,24,1,05-19,American Airlines,340
325,ALB,31,5,24,254,24,1,05-19,American Airlines,407
326,ALB,31,5,6,255,6,1,05-19,American Airlines,416
327,ALB,31,5,6,256,6,1,05-19,JetBlue,591
328,ALB,31,5,6,258,6,2,05-19,American Airlines,424
329,ALB,31,5,6,107,6,1,05-21,Multiple Airlines,720
330,ALB,31,5,9,207,9,0,05-21,Delta,134
331,ALB,31,5,6,142,6,1,05-21,American Airlines,263
332,ALB,31,5,24,142,24,1,05-21,American Airlines,355
333,ALB,31,5,5,142,5,1,05-21,American Airlines,363
334,ALB,31,5,15,142,15,1,05-21,American Airlines,397
335,ALB,31,5,9,143,9,1,05-21,American Airlines,236
336,ALB,31,5,7,143,7,1,05-21,American Airlines,277
337,ALB,31,5,6,143,6,1,05-21,American Airlines,309
338,ALB,31,5,5,143,5,1,05-21,American Airlines,333
339,ALB,31,5,7,143,7,1,05-21,American Airlines,386
340,ALB,31,5,6,143,6,1,05-21,American Airlines,411
341,ALB,31,5,5,143,5,1,05-21,American Airlines,426
342,ALB,31,5,6,146,6,2,05-21,American Airlines,364
343,ALB,31,5,5,146,5,2,05-21,American Airlines,415
344,ALB,31,5,6,146,6,2,05-21,American Airlines,424
345,AMS,107,10,21,428,21,2,05-19,Multiple Airlines,2001
346,AMS,107,10,18,638,18,2,05-19,Multiple Airlines,1027
